Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,weighted_pollution,pm_fine_ratio,population_exposure
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,Moderate,12.149999999999999,0.2905027932960894,16881.48
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,611,Moderate,11.71,0.1885245901639344,34607.04
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,Moderate,26.96,0.7899408284023669,61361.469999999994
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,Good,7.5600000000000005,0.9682539682539683,17824.850000000002
26.5,70.7,6.9,16.0,21.9,5.6,1.01,12.7,303,Good,12.500000000000002,0.43125,15577.23
39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,Hazardous,26.86,0.4112676056338028,75973.28
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,Poor,12.91,0.10759493670886075,46378.49999999999
31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,Moderate,13.239999999999998,0.2976190476190476,27014.14
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,Poor,21.130000000000003,0.4537444933920705,44677.98
33.2,80.5,11.1,24.4,32.0,15.3,1.69,4.9,535,Poor,19.69,0.45491803278688525,45202.149999999994
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13.0,529,Good,6.42,0.23636363636363636,16848.65
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,Moderate,10.04,0.1523809523809524,28301.07
20.0,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,Good,11.23,0.2868217054263566,27109.820000000003
28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508,Good,26.849999999999998,0.85,46542.96
22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,232,Good,9.47,0.375,9553.76
32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,Moderate,24.61,0.7491638795986622,41327.52
22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,Good,8.969999999999999,0.43269230769230765,13627.64
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,Poor,38.93,0.4964664310954064,82292.00000000001
34.7,59.3,9.0,15.7,28.5,7.1,1.52,6.1,437,Moderate,14.720000000000002,0.5732484076433121,27015.34
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,Poor,16.21,0.024390243902439022,60329.39
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8.0,338,Moderate,12.8,0.24305555555555555,19931.86
27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,Good,6.78,0.34862385321100914,13800.8
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10.0,536,Good,5.61,-2.0,16605.28
24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,Good,13.060000000000002,0.538961038961039,24262.430000000004
26.2,49.9,0.5,2.0,22.9,2.3,0.94,17.9,581,Good,5.609999999999999,0.25,16639.84
22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,Good,16.95,0.7699530516431924,19773.72
30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297,Good,5.550000000000001,0.5128205128205129,8164.530000000001
37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,Poor,16.09,0.6084337349397589,42710.85
29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,Good,8.559999999999999,0.3655913978494623,16827.960000000003
52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,785,Hazardous,64.14,0.7401315789473684,178359.84999999998
44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,562,Hazardous,38.910000000000004,0.6038394415357766,81141.56
23.3,45.2,24.0,29.0,26.6,5.3,0.96,10.9,575,Good,24.150000000000002,0.8275862068965517,49369.5
35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440,Poor,26.21,0.6174698795180722,44726.0
29.7,85.8,84.4,94.4,26.7,19.8,1.55,10.0,744,Poor,69.4,0.8940677966101696,168776.40000000002
21.8,79.6,7.1,16.8,14.5,6.0,0.91,10.8,455,Good,11.38,0.42261904761904756,20616.05
27.7,86.1,83.3,93.5,25.3,6.8,1.71,7.4,594,Moderate,67.11000000000001,0.8909090909090909,125102.34000000003
27.5,78.9,30.2,34.1,15.3,3.0,0.98,11.1,472,Good,25.670000000000005,0.8856304985337243,39449.76
28.0,72.2,18.5,25.0,24.9,6.1,1.32,13.2,480,Good,20.490000000000002,0.74,36393.6
22.2,50.0,2.3,8.4,23.5,3.7,0.96,10.2,547,Good,8.51,0.2738095238095238,21256.42
33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,612,Hazardous,55.02,0.7579092159559835,123085.44
37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898,Hazardous,12.72,1.409090909090909,68795.78
30.9,94.4,48.3,67.1,31.4,23.3,1.75,4.3,779,Poor,48.06,0.7198211624441133,133871.15
39.3,78.9,68.9,85.2,43.7,13.0,1.7,8.5,570,Poor,63.160000000000004,0.8086854460093897,121125.0
24.7,64.9,17.3,37.0,27.2,14.9,1.48,5.5,453,Poor,24.950000000000003,0.46756756756756757,44339.64000000001
27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,604,Moderate,14.959999999999999,0.6590909090909091,41555.200000000004
